timestamps,TP9,AF7,AF8,TP10,Right AUX
1711108240.529,-1000.000,-986.816,-943.359,-1000.000,0.000
1711108240.533,-162.598,-172.363,-9.766,38.574,0.000
1711108240.536,-969.238,-1000.000,-1000.000,-774.902,0.000
1711108240.540,959.961,-241.699,-419.434,333.008,0.000
1711108240.544,-283.203,973.633,885.742,-947.266,0.000
1711108240.548,-1000.000,-941.895,-890.137,-1000.000,0.000
1711108240.552,-175.293,-5.371,169.922,-151.855,0.000
1711108240.556,998.047,-1000.000,-1000.000,-830.566,0.000
1711108240.560,-953.125,-440.430,-641.602,530.762,0.000
1711108240.564,-67.871,871.582,743.652,-848.145,0.000
1711108240.568,-1000.000,-881.836,-847.168,-1000.000,0.000
1711108240.572,-174.316,197.754,174.316,-218.262,0.000
1711108240.576,986.816,-1000.000,-1000.000,-927.734,0.000
1711108240.579,-932.129,-776.855,-889.648,809.570,0.000
1711108240.583,143.555,594.238,435.059,-541.016,0.000
1711108240.587,-1000.000,-821.289,-794.434,-1000.000,0.000
1711108240.591,-387.207,166.016,145.020,-181.641,0.000
1711108240.595,915.039,-1000.000,-1000.000,-992.676,0.000
1711108240.599,-899.414,-921.875,-1000.000,-986.328,0.000
1711108240.603,214.844,385.742,121.582,-179.688,0.000
1711108240.607,-1000.000,-788.086,-770.996,-1000.000,0.000
1711108240.611,-584.473,155.762,272.461,-270.508,0.000
1711108240.615,802.246,-1000.000,-976.562,957.520,0.000
1711108240.619,-863.281,-1000.000,-1000.000,-931.641,0.000
1711108240.622,185.059,105.469,-79.590,21.973,0.000
1711108240.626,-1000.000,-770.996,-807.617,-1000.000,0.000
1711108240.630,-807.617,303.711,460.938,-465.820,0.000
1711108240.634,532.715,-964.844,-882.324,861.328,0.000
1711108240.638,-812.500,-1000.000,-1000.000,-879.395,0.000
1711108240.642,258.301,-70.801,-213.867,200.684,0.000
1711108240.646,-1000.000,-819.824,-896.973,-1000.000,0.000
1711108240.650,-984.375,539.062,714.355,-720.215,0.000
1711108240.654,274.902,-817.871,-657.715,668.945,0.000
1711108240.658,-791.016,-1000.000,-1000.000,-831.055,0.000
1711108240.662,417.969,-222.656,-196.289,163.574,0.000
1711108240.665,-905.273,-912.598,-964.355,-1000.000,0.000
1711108240.669,-1000.000,756.836,931.152,-957.520,0.000
1711108240.673,-7.324,-610.840,-341.797,332.520,0.000
1711108240.677,-833.496,-1000.000,-1000.000,-781.738,0.000
1711108240.681,607.910,-200.684,-194.336,139.648,0.000
1711108240.685,-744.141,-949.707,992.676,-1000.000,0.000
1711108240.689,-1000.000,888.672,-960.938,-1000.000,0.000
1711108240.693,-169.434,-412.598,-72.266,54.199,0.000
1711108240.697,-953.613,-1000.000,-1000.000,-772.461,0.000
1711108240.701,913.086,-212.891,-359.863,291.016,0.000
1711108240.704,-373.535,957.520,915.527,-968.750,0.000
1711108240.708,-1000.000,-925.781,-905.762,-1000.000,0.000
1711108240.712,-131.836,115.723,115.723,-117.676,0.000
1711108240.716,-983.398,-1000.000,-1000.000,-815.918,0.000
1711108240.720,-976.562,-412.109,-561.035,474.609,0.000
1711108240.724,-126.953,907.227,808.594,-878.418,0.000
1711108240.728,-1000.000,-896.484,-862.305,-1000.000,0.000
1711108240.732,-179.688,169.922,187.500,-231.934,0.000
1711108240.736,986.328,-1000.000,-1000.000,-896.484,0.000
1711108240.740,-933.594,-534.668,-803.223,700.195,0.000
1711108240.744,82.520,842.285,560.059,-684.570,0.000
1711108240.747,-1000.000,-870.605,-812.500,-1000.000,0.000
1711108240.751,-317.871,187.988,152.832,-198.242,0.000
1711108240.755,939.453,-1000.000,-1000.000,-960.938,0.000
1711108240.759,-909.180,-822.754,-1000.000,921.387,0.000
1711108240.763,222.168,535.156,216.797,-368.164,0.000
1711108240.767,-1000.000,-807.617,-771.484,-1000.000,0.000
1711108240.771,-540.039,148.926,198.730,-179.199,0.000
1711108240.775,845.215,-1000.000,-1000.000,996.094,0.000
1711108240.779,-873.535,-1000.000,-1000.000,-962.891,0.000
1711108240.783,195.801,169.922,-16.602,-74.707,0.000
1711108240.787,-1000.000,-769.043,-788.086,-1000.000,0.000
1711108240.790,-708.496,297.363,392.090,-368.164,0.000
1711108240.794,661.133,-956.543,-917.969,911.621,0.000
1711108240.798,-832.031,-1000.000,-1000.000,-903.809,0.000
1711108240.802,220.703,-115.723,-193.359,116.211,0.000
1711108240.806,-1000.000,-810.059,-862.305,-1000.000,0.000
1711108240.810,-970.703,420.410,607.910,-566.406,0.000
1711108240.814,288.574,-915.039,-774.414,812.500,0.000
1711108240.818,-788.086,-1000.000,-1000.000,-860.352,0.000
1711108240.822,379.395,-207.031,-209.961,182.617,0.000
1711108240.826,-937.012,-869.141,-939.453,-1000.000,0.000
1711108240.830,-1000.000,624.023,849.121,-845.215,0.000
1711108240.833,57.617,-762.695,-478.027,505.859,0.000
1711108240.837,-820.312,-1000.000,-1000.000,-802.734,0.000
1711108240.841,584.473,-192.871,-179.199,145.996,0.000
1711108240.845,-781.250,-982.422,-994.629,-1000.000,0.000
1711108240.849,-1000.000,981.934,-981.445,-1000.000,0.000
1711108240.853,-18.066,-255.859,-144.531,144.531,0.000
1711108240.857,-894.531,-1000.000,-1000.000,-765.137,0.000
1711108240.861,810.547,-178.711,-295.898,234.863,0.000
1711108240.865,-483.887,-994.141,946.777,-993.164,0.000
1711108240.869,-1000.000,-969.238,-924.805,-1000.000,0.000
1711108240.872,-168.945,-103.516,45.898,-57.129,0.000
1711108240.876,-992.188,-1000.000,-1000.000,-797.363,0.000
1711108240.880,-981.445,-333.008,-488.281,430.176,0.000
1711108240.884,-157.715,929.199,852.051,-896.973,0.000
1711108240.888,-1000.000,-909.668,-876.465,-1000.000,0.000
1711108240.892,-173.340,81.055,182.129,-237.793,0.000
1711108240.896,991.211,-1000.000,-1000.000,-887.695,0.000
1711108240.900,-937.988,-406.250,-720.215,666.016,0.000
1711108240.904,41.992,902.344,658.691,-725.098,0.000
