timestamps,TP9,AF7,AF8,TP10,Right AUX
1711108310.670,964.355,-1000.000,-1000.000,-1000.000,0.000
1711108310.674,964.355,-937.988,-1000.000,-1000.000,0.000
1711108310.678,964.355,-1000.000,-1000.000,-1000.000,0.000
1711108310.682,964.355,-221.191,-1000.000,-1000.000,0.000
1711108310.686,964.355,-963.379,-1000.000,-1000.000,0.000
1711108310.690,964.355,948.730,-1000.000,-1000.000,0.000
1711108310.694,964.355,937.988,-1000.000,-1000.000,0.000
1711108310.698,964.355,972.168,-1000.000,-1000.000,0.000
1711108310.702,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.706,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.709,964.355,964.844,-1000.000,-1000.000,0.000
1711108310.713,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.717,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.721,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.725,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.729,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.733,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.737,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.741,964.355,964.844,-1000.000,-1000.000,0.000
1711108310.745,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.749,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.752,964.355,964.844,-1000.000,-1000.000,0.000
1711108310.756,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.760,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.764,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.768,964.355,965.332,-1000.000,-1000.000,0.000
1711108310.772,964.355,964.844,-998.047,-1000.000,0.000
1711108310.776,964.355,964.844,-942.383,-1000.000,0.000
1711108310.780,964.355,964.844,-1000.000,-1000.000,0.000
1711108310.784,964.355,964.844,-172.852,-1000.000,0.000
1711108310.788,964.355,964.844,-952.148,-1000.000,0.000
1711108310.792,964.355,965.332,942.383,-1000.000,0.000
1711108310.795,964.355,964.844,941.406,-1000.000,0.000
1711108310.799,964.355,964.844,970.703,-1000.000,0.000
1711108310.803,964.355,965.332,964.844,-1000.000,0.000
1711108310.807,964.355,964.844,965.332,-1000.000,0.000
1711108310.811,964.355,964.844,965.332,-1000.000,0.000
1711108310.815,964.355,964.844,964.844,-1000.000,0.000
1711108310.819,964.355,964.844,965.332,-1000.000,0.000
1711108310.823,964.355,965.332,965.332,-1000.000,0.000
1711108310.827,964.355,965.332,965.332,-1000.000,0.000
1711108310.831,964.355,965.332,965.332,-1000.000,0.000
1711108310.834,964.355,964.844,965.332,-1000.000,0.000
1711108310.838,964.355,964.844,965.332,-1000.000,0.000
1711108310.842,964.355,965.332,965.332,-1000.000,0.000
1711108310.846,964.355,965.332,965.332,-1000.000,0.000
1711108310.850,964.355,965.332,965.332,-1000.000,0.000
1711108310.854,964.355,965.332,964.844,-1000.000,0.000
1711108310.858,964.355,965.332,965.332,-1000.000,0.000
1711108310.862,968.750,964.844,965.332,-1000.000,0.000
1711108310.866,896.973,965.332,965.332,-925.781,0.000
1711108310.870,-895.996,965.332,965.332,-1000.000,0.000
1711108310.874,259.277,965.332,965.332,-565.918,0.000
1711108310.877,-1000.000,965.332,964.844,876.465,0.000
1711108310.881,-996.094,965.332,965.332,-988.281,0.000
1711108310.885,-967.285,965.332,964.844,909.668,0.000
1711108310.889,-1000.000,965.332,964.844,980.469,0.000
1711108310.893,-1000.000,965.332,964.844,964.844,0.000
1711108310.897,-1000.000,964.844,964.844,964.844,0.000
1711108310.901,-1000.000,964.844,965.332,964.844,0.000
1711108310.905,-1000.000,965.332,964.844,964.844,0.000
1711108310.909,-1000.000,964.844,964.844,964.844,0.000
1711108310.913,-1000.000,965.332,964.844,964.844,0.000
1711108310.916,-1000.000,965.820,964.844,964.844,0.000
1711108310.920,-1000.000,902.832,964.844,964.844,0.000
1711108310.924,-1000.000,-896.484,965.332,964.844,0.000
1711108310.928,-1000.000,186.035,964.844,964.844,0.000
1711108310.932,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.936,-1000.000,-984.375,965.332,964.844,0.000
1711108310.940,-1000.000,-973.145,964.844,964.844,0.000
1711108310.944,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.948,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.952,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.956,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.959,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.963,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.967,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.971,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.975,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.979,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.983,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.987,-1000.000,-1000.000,964.844,964.844,0.000
1711108310.991,-1000.000,-1000.000,971.191,964.844,0.000
1711108310.995,-1000.000,-1000.000,946.289,964.844,0.000
1711108310.999,-1000.000,-1000.000,998.047,964.844,0.000
1711108311.002,-1000.000,-1000.000,745.117,964.844,0.000
1711108311.006,-1000.000,-1000.000,481.934,964.844,0.000
1711108311.010,-1000.000,-1000.000,-417.480,964.844,0.000
1711108311.014,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.018,-1000.000,-1000.000,-949.219,964.844,0.000
1711108311.022,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.026,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.030,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.034,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.038,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.041,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.045,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.049,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.053,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.057,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.061,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.065,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.069,-1000.000,-1000.000,-1000.000,964.844,0.000
1711108311.073,-1000.000,-1000.000,-1000.000,964.844,0.000
